,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
DenseNet121,0.6385301837270342,0.5733065953654188,0.4860294117647059,0.7324404761904761,0.7137681159420289
DenseNet169,0.7816272965879265,0.7004233511586453,0.8420955882352941,0.8191964285714286,0.855865036231884
DenseNet201,0.4081889763779527,0.5954768270944741,0.46102941176470585,0.7095238095238094,0.5039628623188406
InceptionResNetV2,0.3643044619422572,0.39226827094474154,0.41470588235294115,0.3851190476190476,0.44202898550724634
VGG16,0.8043044619422572,0.7133467023172905,0.8676470588235293,0.9361607142857142,0.9142889492753623
VGG19,0.8487139107611549,0.7225935828877005,0.8933823529411764,0.9245535714285713,0.9305932971014492
Xception,0.5,0.5,0.5,0.5,0.40194746376811596
